,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,29,"Stewart, Ethan",Sr,6-1,202,2/10/1997,"Rockford, Ill.",Forwards,73,,,,Springfield,NAHL,Ferris-State
,12,"Tulik, Dallas",Jr,6-0,189,6/23/1998,"Kalamazoo, Mich.",Forwards,72,,,,Ferris State,CCHA,Ferris-State
,23,"Venuto, Antonio",So,6-3,204,2/26/2000,"Whitmore Lake, Mich.",Forwards,75,,,,Dubuque,USHL,Ferris-State
,31,"Giesbrecht, Noah",Fr,6-3,200,4/18/1999,"White Rock, B.C.",Goaltenders,75,,,,Windsor,USports,Ferris-State
,33,"McPhail, Carter",Jr,5-10,180,12/4/1998,"Fenton, Mich.",Goaltenders,70,,,,Ferris State,CCHA,Ferris-State
,30,"Salmenkangas, Roni",Sr,6-0,177,3/28/1999,"Tampere, Finland",Goaltenders,72,,,,Ferris State,CCHA,Ferris-State
,1,"Stein, Logan",So,6-2,201,4/26/2001,"Suwanee, Ga.",Goaltenders,74,,,,Waterloo,USHL,Ferris-State
,16,"Burgin, Drake",Fr,5-11,180,10/22/2000,"Winnipeg, Man.",Defensemen,71,,,,Cranbrook,BCHL,St-Lawrence
,9,"Chapleau, Philippe",Fr,5-8,170,7/6/2000,"Longueuil, Que.",Defensemen,68,,,,Penticton,BCHL,St-Lawrence
,22,"Clarke, Jeff",Sr,6-4,215,4/15/1999,"London, Ont.",Defensemen,76,,,,Oakville,OJHL,St-Lawrence
,3,"Erickson, Luke",So,6-2,210,4/15/1999,"Woodbury, Minn.",Defensemen,74,,,,Fairbanks,NAHL,St-Lawrence
,33,"Makowski, Tim",Jr,6-1,195,11/14/1998,"St. Louis, Mo.",Defensemen,73,,,,Aberdeen,NAHL,St-Lawrence
,24,"McIntosh, Tucker",So,6-1,175,5/20/2001,"Toronto, Ont.",Defensemen,73,,,,Ottawa Jr. Senators,CCHL,St-Lawrence
,7,"Salem, Luc",So,5-10,175,7/9/1999,"Santa Monica, Calif.",Defensemen,70,,,,Topeka,NAHL,St-Lawrence
,4,"Waite, Mason",Fr,6-1,200,4/4/2000,"Winnipeg, Man.",Defensemen,73,,,,Prince George,BCHL,St-Lawrence
,11,"Arquiett, Will",Fr,5-8,170,6/25/2000,"Brasher Falls, N.Y.",Forwards,68,,,,Aberdeen,NAHL,St-Lawrence
,28,"Boyer, Josh",Jr,6-3,201,10/7/1999,"Wasilla, Alaska",Forwards,75,,,,Omaha,NCHC,St-Lawrence
,21,"Buhl, Cameron",Jr,5-10,184,12/3/1998,"South St. Paul, Minn.",Forwards,70,,,,Minnesota,NAHL,St-Lawrence
,19,"Dorrington, Max",So,6-3,205,8/30/2001,"North Reading, Mass.",Forwards,75,,,,Cushing Academy,PREP,St-Lawrence
,23,"Fry, Ashton",Jr,5-11,185,7/16/1998,"Highlands Ranch, Colo.",Forwards,71,,,,Kemptville,CCHL,St-Lawrence
,10,"Jankowski, David",Sr,6-1,175,5/25/1997,"Waterdown, Ont.",Forwards,73,,,,St. Lawrence,ECAC,St-Lawrence
,12,"Lapointe, Greg",So,5-9,175,1/1/2001,"Granby, Que.",Forwards,69,,,,Coquitlam,BCHL,St-Lawrence
,8,"MacLeod, Oak",Fr,5-10,185,4/4/2002,"Caledonia, Ont.",Forwards,70,,,,Jersey,USPHL,St-Lawrence
,17,"Moran, Reilly",So,5-11,176,4/24/2000,"Hingham, Mass.",Forwards,71,,,,Powell River,BCHL,St-Lawrence
,15,"Naaykens, Ty",Fr,6-1,190,1/27/2001,"Winnipeg, Man.",Forwards,73,,,,Fairbanks,NAHL,St-Lawrence
,26,"Pappas, Chris",Fr,5-11,175,11/26/2000,"Etobicoke, Ont.",Forwards,71,,,,St. Lawrence,ECAC,St-Lawrence
,14,"Paul, Justin",So,5-11,188,4/10/2000,"Thunder Bay, Ont.",Forwards,71,,,,Wellington,OJHL,St-Lawrence
,13,"Peltonen, Aleksi",Jr,5-10,180,6/8/1998,"Helsinki, Finland",Forwards,70,,,,Omaha,USHL,St-Lawrence
,18,"Pickering, Kaden",Sr,5-9,180,12/17/1998,"Madrid, N.Y.",Forwards,69,,,,St. Lawrence,ECAC,St-Lawrence
,27,"Ritchie, Logan",So,5-11,180,7/27/1999,"O'Fallon, Mo.",Forwards,71,,,,Kenai River,NAHL,St-Lawrence
,29,"Steinmetz, Jordan",Jr,5-8,160,1/10/1999,"Chippewa Falls, Wis.",Forwards,68,,,,St. Lawrence,ECAC,St-Lawrence
,20,"Trela, Nicholas",So,6-2,185,8/26/1999,"Trenton, Mich.",Forwards,74,,,,Amarillo,NAHL,St-Lawrence
,35,"Adams, Grant",So,6-2,195,9/22/2000,"South Bend, Ind.",Goaltenders,74,,,,Salmon Arm,BCHL,St-Lawrence
,31,"Boisvert, Francis",Jr,6-2,170,3/11/1999,"Blainville, Que.",Goaltenders,74,,,,St. Lawrence,ECAC,St-Lawrence
,1,"Zetterquist, Emil",Sr,6-1,190,9/21/1998,"Stockholm, Sweden",Goaltenders,73,,,,Coulee Region,NAHL,St-Lawrence
,8,"Hickey, Tanner",Jr,5-10,170,4/30/1999,"Leduc, Alb.",Defensemen,70,,,,Spruce Grove,BCHL,Arizona-State
,22,"Judson, Jack",Jr,6-0,180,2/26/2000,"White Rock, B.C.",Defensemen,72,,,,Arizona State,DI Independent,Arizona-State
,27,"Lovell, Tim",So,5-8,150,2/8/2002,"Hingham, Mass.",Defensemen,68,,,,Boston College,HEA,Arizona-State
,5,"Murchison, Ty",Fr,6-2,190,2/2/2003,"Corona, Calif.",Defensemen,74,2021,PHI,5,USA U-18 Team,NTDP,Arizona-State
,17,"Semik, Jacob",Jr,6-0,180,3/10/2000,"Canton, Mich.",Defensemen,72,,,,Dubuque,USHL,Arizona-State
,16,"Szmagaj, Ethan",Fr,6-0,194,9/18/2001,"Canton, Mich.",Defensemen,72,,,,Waterloo,USHL,Arizona-State
,44,"Theocharidis, Tim",Sr,6-1,183,6/28/1998,"Scarborough, Ont.",Defensemen,73,,,,Bowling Green,WCHA,Arizona-State
,4,"Wilson, Jacob",Sr,5-11,185,2/27/1997,"Ballwin, Mo.",Defensemen,71,,,,Sioux City,USHL,Arizona-State
,72,"Becker, Jack",Gr,6-3,192,6/24/1997,"Dellwood, Minn.",Forwards,75,2015,BOS,7,Michigan,Big10,Arizona-State
,9,"Dhooghe, Sean",Sr,5-3,150,3/9/1999,"Aurora, Ill.",Forwards,63,,,,Wisconsin,Big10,Arizona-State
,94,"Doan, Josh",Fr,6-2,176,2/1/2002,"Scottsdale, Ariz.",Forwards,74,2021,ARI,2,Chicago,USHL,Arizona-State
,11,"Eckerle, Benji",So,5-9,175,9/24/1999,"Northville, Mich.",Forwards,69,,,,Tri City,USHL,Arizona-State
,13,"Grando, Christopher",Sr,5-10,172,8/22/1998,"Islip, N.Y.",Forwards,70,,,,Boston College,HEA,Arizona-State
,18,"Jensen, Jack",Fr,6-2,205,8/31/2000,"Eden Prairie, Minn.",Forwards,74,,,,Arizona State,Independents,Arizona-State
,29,"Knierim, William",Sr,6-4,225,1/22/1998,"Chicago, Ill.",Forwards,76,,,,Miami,NCHC,Arizona-State
,28,"Kopperud, Matthew",So,5-11,170,8/4/1999,"Denver, Colo.",Forwards,71,,,,Dubuque,USHL,Arizona-State
,23,"Koumontzis, Demetrios",Sr,5-10,180,3/24/2000,"Edina, Minn.",Forwards,70,2018,CGY,4,Edina H.S.,USHS,Arizona-State
,10,"Mancinelli, Michael",So,5-9,185,6/28/2001,"Northville, Mich.",Forwards,69,,,,Arizona State,D-I Independent,Arizona-State
,20,"Niedermayer, Jackson",Fr,6-0,200,3/11/2001,"Newport Beach, Calif.",Forwards,72,,,,Penticton,BCHL,Arizona-State
,39,"O'Reilly, Ryan",So,6-3,205,3/21/2000,"Southlake, Texas",Forwards,75,2018,DET,4,Green Bay,USHL,Arizona-State
,19,"Sandhu, Jordan (C)",Sr,5-7,155,5/13/1999,"Richmond, B.C.",Forwards,67,,,,Vernon,BCHL,Arizona-State
,63,"Theisen, Colin",Gr,6-0,187,4/24/1997,"Monroe, Mich.",Forwards,72,,,,Notre Dame,Big10,Arizona-State
,7,"Walker, Johnny",Sr,6-1,185,8/21/1996,"Phoenix, Ariz.",Forwards,73,,,,Chicago,USHL,Arizona-State
,21,"Zhong, Peter",Jr,5-11,175,7/30/1998,"Orland Park, Ill.",Forwards,71,,,,Philadelphia,NAHL,Arizona-State
,34,"Brady, Cole",So,6-5,180,2/12/2001,"Pickering, Ont.",Goaltenders,77,2019,NJD,5,Arizona State,D-I Independent,Arizona-State
,33,"Kraws, Ben",So,6-4,174,8/2/2000,"Cranbury, N.J.",Goaltenders,76,,,,Arizona State,Independents,Arizona-State
,1,"Moore, Bronson",Sr,6-0,181,11/6/1997,"Tri-Cities, Wash.",Goaltenders,72,,,,Arizona State,Club,Arizona-State
,18,"Bushy, Brendan",Sr,6-2,230,8/23/1998,"Thief River Falls, Minn.",Defensemen,74,,,,Dubuque,USHL,St-Cloud-State
,3,"Donohue, Seamus",Sr,6-0,190,6/1/1996,"North Oaks, Minn.",Defensemen,72,,,,Michigan Tech,WCHA,St-Cloud-State
,6,"Jaycox, Luke",Sr,6-3,205,8/19/1997,"Warroad, Minn.",Defensemen,75,,,,Lincoln,USHL,St-Cloud-State
,21,"Luedtke, Josh",Fr,5-9,175,9/29/2000,"Minnetonka, Minn.",Defensemen,69,,,,Des Moines,USHL,St-Cloud-State
,9,"Meier, Spencer (C)",Sr,6-4,212,4/15/1999,"Sartell, Minn.",Defensemen,76,,,,Fargo,USHL,St-Cloud-State
,23,"Peart, Jack",Fr,5-11,175,5/15/2003,"Grand Rapids, Minn.",Defensemen,71,2021,MIN,2,Fargo,USHL,St-Cloud-State
,25,"Perbix, Nick",Sr,6-4,200,6/15/1998,"Elk River, Minn.",Defensemen,76,2017,TBL,6,Omaha,USHL,St-Cloud-State
,5,"Trejbal, Ondrej",Jr,6-3,185,4/21/1999,"Hamry nad Sázavou, Czech Republic",Defensemen,75,,,,Minnesota,NAHL,St-Cloud-State
,2,"Ziemer, Brady",So,5-10,180,5/24/2000,"Carver, Minn.",Defensemen,70,,,,St. Cloud State,NCHC,St-Cloud-State
,27,"Brand, Chase",Jr,5-10,165,2/25/1999,"Nevis, Minn.",Forwards,70,,,,St. Cloud State,NCHC,St-Cloud-State
,26,"Brodzinski, Easton",Sr,6-2,198,8/13/1996,"Blaine, Minn.",Forwards,74,,,,Fargo,USHL,St-Cloud-State
,28,"Fitzgerald, Kevin",Sr,6-0,175,7/31/1996,"Oak Brook, Ill.",Forwards,72,,,,Aberdeen,NAHL,St-Cloud-State
,19,"Hentges, Sam",Sr,6-0,190,7/26/1999,"New Brighton, Minn.",Forwards,72,2018,MIN,7,Tri-City,USHL,St-Cloud-State
,7,"Johnston, Jack",So,5-10,170,6/29/1999,"Saint Paul, Minn.",Forwards,70,,,,Fairbanks,NAHL,St-Cloud-State
,13,"Krannila, Jami",Jr,5-10,165,10/3/2000,"Nokia, Finland",Forwards,70,,,,Sioux Falls,USHL,St-Cloud-State
,10,"Kupka, Kyler",Jr,6-0,185,5/11/1999,"Camrose, Alb.",Forwards,72,,,,Camrose,AJHL,St-Cloud-State
,29,"Miettinen, Veeti",So,5-9,160,9/20/2001,"Espoo, Finland",Forwards,69,2020,TOR,6,Kiekko-Espoo U20,Europe,St-Cloud-State
,15,"Miller, Micah",Sr,5-9,200,10/29/1998,"Remer, Minn.",Forwards,69,,,,Sioux City,USHL,St-Cloud-State
,22,"Molenaar, Joe",So,6-1,175,10/16/1999,"Minnetonka, Minn.",Forwards,73,,,,Cedar Rapids,USHL,St-Cloud-State
,14,"Okabe, Zach",Jr,5-9,170,1/4/2001,"Okotoks, Alb.",Forwards,69,,,,Grande Prairie,AJHL,St-Cloud-State
,17,"Rocco, Thomas",Jr,5-10,160,11/4/1999,"Midlothian, Va.",Forwards,70,,,,Aberdeen,NAHL,St-Cloud-State
,12,"Rosborough, Ryan",Fr,6-3,190,5/24/2000,"Mount Brydges, Ont.",Forwards,75,,,,Boston,NCDC,St-Cloud-State
,16,"Salquist, Mason",Fr,5-8,165,3/21/2000,"Grand Forks, N.D.",Forwards,68,,,,Fargo,USHL,St-Cloud-State
,8,"Spellacy, Aidan",Jr,5-11,175,6/13/1998,"Lakewood, Ohio",Forwards,71,,,,Robert Morris (AHA_,,St-Cloud-State
,20,"Walker, Nolan",Sr,5-10,170,4/15/1999,"Anchorage, Alaska",Forwards,70,,,,Sioux Falls,USHL,St-Cloud-State
,40,"Castor, Jaxon",Jr,6-3,200,3/14/1997,"Phoenix, Ariz.",Goaltenders,75,,,,Shreveport,NAHL,St-Cloud-State
,34,"Hrenak, David",Sr,6-2,180,5/5/1998,"Považská Bystrica, Slovakia",Goaltenders,74,2018,LAK,5,Green Bay,USHL,St-Cloud-State
,30,"Lamoreaux, Joey",Jr,6-1,180,2/1/1999,"Shorewood, Wis.",Goaltenders,73,,,,St. Cloud State,NCHC,St-Cloud-State
,22,"Bavaro, Drew",So,6-3,190,6/10/2000,"Bradenton, Fla.",Defensemen,75,,,,Bentley,AHA,Bentley
,2,"Clark, Matt",So,6-1,185,5/10/1999,"Jamison, Pa.",Defensemen,73,,,,Odessa,NAHL,Bentley
,23,"Hodgson, Tucker",Fr,6-2,195,6/7/2001,"Grand Forks, N.D.",Defensemen,74,,,,Fargo ,USHL,Bentley
,14,"Lombardozzi, Matt",Sr,6-1,201,6/27/1997,"Leominster, Mass.",Defensemen,73,,,,Carleton Place,CCHL,Bentley
,28,"Main, Tanner",Fr,5-10,165,4/3/2000,"Welland, Ont.",Defensemen,70,,,,Prince George,BCHL,Bentley
,3,"Orysiuk, Luke",Sr,6-0,195,6/19/1997,"Edmonton, Alb.",Defensemen,72,,,,Fairbanks,NAHL,Bentley
,5,"Roswell, Ethan (C)",Sr,5-11,185,7/30/1998,"Paradise Valley, Ariz.",Defensemen,71,,,,Junior Bruins,USPHL,Bentley
,25,"Toale, Hunter",Jr,6-1,175,11/21/1999,"Coral Springs, Fla.",Defensemen,73,,,,Johnstown,NAHL,Bentley
,4,"Walter, Marcus",Jr,6-3,210,6/14/1999,"St. Albert, Alb.",Defensemen,75,,,,Alberni Valley,BCHL,Bentley
,15,"Connell, Cooper",Fr,6-3,190,7/15/2001,"West Vancouver, B.C.",Forwards,75,,,,Grand Prairie,AJHL,Bentley
,13,"Gosiewski, Matt",Jr,6-4,210,5/10/1998,"Wilton, Conn.",Forwards,76,,,,Wenatchee,BCHL,Bentley
,6,"Hamblet, Brendan",Sr,5-11,181,11/5/1998,"Hopkinton, Mass.",Forwards,71,,,,The Rivers School,,Bentley
,7,"Harrison, Ethan",So,6-0,170,10/30/2000,"Plano, Texas",Forwards,72,,,,Sioux City,USHL,Bentley
,38,"Knies, Phil",Sr,5-9,170,6/4/1998,"Phoenix, Ariz.",Forwards,69,,,,Sioux City,USHL,Bentley
,21,"Kodsi, Cole",So,6-2,190,6/17/2000,"Boca Raton, Fla.",Forwards,74,,,,Bentley,AHA,Bentley
,11,"Linell, Eric",So,5-8,170,9/17/1998,"Great Neck, N.Y.",Forwards,68,,,,UConn,HEA,Bentley
,12,"Pearson, Danny",Fr,5-10,185,6/1/2000,"West Vancouver, B.C.",Forwards,70,,,,Coquitlam ,BCHL,Bentley
,10,"Pitera, Dylan",Sr,6-2,195,7/4/1999,"Culver, Ind.",Forwards,74,,,,Culver Academy,PREP,Bentley
,19,"Rutherford, Collin",Sr,5-9,165,12/29/1997,"Tonawanda, N.Y.",Forwards,69,,,,Dartmouth,ECAC,Bentley
,18,"Sato, Kohei",Sr,6-1,185,9/26/1996,"Nishitokyo, Japan",Forwards,73,,,,New Hampshire,HEA,Bentley
,20,"Schlagenhauf, Will",Sr,5-9,175,10/12/1998,"Carmel, Ind.",Forwards,69,,,,Muskegon,USHL,Bentley
,16,"Scott, Harrison",Fr,6-0,185,9/27/2000,"San Jose, Calif.",Forwards,72,,,,Bentley,AHA,Bentley
,26,"Vanroboys, Lucas",Jr,6-2,185,7/24/1999,"Thamesville, Ont.",Forwards,74,,,,Bentley,AHA,Bentley
,9,"Walkom, Brendan",Sr,6-0,190,1/28/1998,"Pittsburgh, Pa.",Forwards,72,,,,Madison,USHL,Bentley
,24,"Winkelmann, Joe",Jr,5-11,185,5/8/2000,"St. Louis, Mo.",Forwards,71,,,,Odessa,NAHL,Bentley
,17,"Zuffante, Michael",Sr,5-10,176,6/19/1998,"Bloomingdale, Ill.",Forwards,70,,,,Minnesota,NAHL,Bentley
,30,"DeBrouwer, Evan",Sr,6-3,190,1/30/1997,"Blenheim, Ont.",Goaltenders,75,,,,Arizona State,,Bentley
,29,"Grabko, Nicholas",So,5-11,180,2/6/2000,"Channahon, Ill.",Goaltenders,71,,,,Green Bay,USHL,Bentley
,33,"Grande, Jason",Jr,6-3,190,2/7/1999,"West Chester, Pa.",Goaltenders,75,,,,Bentley,AHA,Bentley
,34,"Kirk, Fraser",Sr,6-2,180,10/7/1997,"Burlington, Ont.",Goaltenders,74,,,,Newmarket,OJHL,Bentley
,3,"Berry, Spencer",Sr,6-1,180,9/26/1998,"White Rock, B.C.",Defensemen,73,,,,Langley,BCHL,RIT
,6,"Boots, Calvon",Jr,5-10,180,2/11/1998,"Fairbanks, Alaska",Defensemen,70,,,,Flin Flon,SJHL,RIT
,10,"Cassaro, Gianfranco",Jr,5-11,194,3/30/1999,"Nobleton, Ont.",Defensemen,71,,,,Massachusetts,HEA,RIT
,2,"DiMurro, Diarmad",So,5-9,170,5/2/1999,"Highland Mills, N.Y.",Defensemen,69,,,,Trail,BCHL,RIT
,23,"Hansen-Bukata, Aiden",So,6-0,179,6/29/1999,"Delta, B.C.",Defensemen,72,,,,Nanaimo,BCHL,RIT
,4,"Mikrogiannakis, Dimitri",So,6-1,196,9/20/1999,"Aurora, Ont.",Defensemen,73,,,,Cowichan Valley,BCHL,RIT
,24,"Nicholson, Ryan",Jr,6-3,196,1/14/1999,"Mississauga, Ont.",Defensemen,75,,,,Oakville,OJHL,RIT
,25,"Scott, Douglas",Fr,5-10,190,4/16/2000,"North Vancouver, B.C.",Defensemen,70,,,,Humboldt,SJHL,RIT
,5,"Willett, Dan",Gr,5-7,180,2/23/1996,"Glen Cove, N.Y.",Defensemen,67,,,,Bloomington,USHL,RIT
,7,"Andrew, Tanner",Fr,5-9,170,2/11/2000,"Virden, Man.",Forwards,69,,,,Chilliwack,BCHL,RIT
,19,"Bruce, Nick",Sr,6-0,181,9/2/1996,"Fall River, N.S.",Forwards,72,,,,Johnstown,NAHL,RIT
,8,"Calverley, Will (C)",Sr,5-9,176,7/17/1998,"Scarborough, Ont.",Forwards,69,,,,RIT,AHA,RIT
,16,"Gonsalves, Elijah",Jr,5-9,175,3/8/2000,"Scarborough, Ont.",Forwards,69,,,,Wellington,OJHL,RIT
,14,"Hamacher, Jake",Sr,5-9,170,4/20/1997,"Corona, Calif.",Forwards,69,,,,Dubuque,USHL,RIT
,22,"Hobbs, Grady",Fr,5-8,177,3/18/2000,"Deloraine, Man.",Forwards,68,,,,Dauphin,MJHL,RIT
,9,"Joffe, Jake",Sr,5-10,175,4/30/1998,"Toronto, Ont.",Forwards,70,,,,Toronto Jr. Candiens,OJHL,RIT
,26,"Laskosky, Cody",So,5-11,180,6/21/1999,"New Norway, Alb.",Forwards,71,,,,Camrose,AJHL,RIT
,17,"Miller, Evan",Fr,5-11,175,3/7/2000,"Niagara-on-the-Lake, Ont.",Forwards,71,,,,Wellington,OJHL,RIT
,20,"Moretz, Caleb",Jr,5-10,180,7/14/1998,"Fairbanks, Alaska",Forwards,70,,,,Flin Flon,SJHL,RIT
,28,"Oszytko, Merritt",Sr,6-2,192,2/21/1998,"Edmonton, Alb.",Forwards,74,,,,Fort McMurray,AJHL,RIT
,27,"Petrucci, Andrew",Sr,6-1,201,5/21/1997,"Toronto, Ont.",Forwards,73,,,,Toronto,OJHL,RIT
,15,"Rinaldi, Andrew",Jr,6-0,199,3/15/1998,"Pierrefonds, Que.",Forwards,72,,,,Wellington,OJHL,RIT
,11,"Trumbla, Colton",Jr,6-1,202,11/30/1998,"Winnipeg, Man.",Forwards,73,,,,St. Michael's,OJHL,RIT
,18,"Walker, Kobe",Sr,5-9,175,4/3/1998,"Lloydminster, Alb.",Forwards,69,,,,Lloydminster,AJHL,RIT
,21,"Wilkie, Carter",Fr,6-1,190,4/3/2000,"Calgary, Alb.",Forwards,73,,,,West Kelowna,BCHL,RIT
,1,"Andriano, Ian",Sr,6-1,198,8/11/1996,"Barrie, Ont.",Goaltenders,73,,,,Ottawa,CCHL,RIT
,32,"Chenard, Daniel",So,6-0,168,10/3/1999,"Waterloo, Ont.",Goaltenders,72,,,,Wenatchee,BCHL,RIT
,40,"Matthews, Kolby",Jr,6-1,170,3/4/1999,"Coquitlam, B.C.",Goaltenders,73,,,,Coquitlam,BCHL,RIT
,30,"Scarfone, Tommy",Fr,6-0,170,11/19/2000,"L'Île-Bizard, Que.",Goaltenders,72,,,,Surrey,BCHL,RIT
,61,"Gabriele, Grant",Sr,6-2,197,4/17/1997,"Brighton, Mich.",Defensemen,74,,,,Waterloo,USHL,Ohio-State
,6,"Lohrei, Mason",Fr,6-4,200,1/17/2001,"Madison, Wis.",Defensemen,76,2020,BOS,2,Green Bay,USHL,Ohio-State
,2,"Marooney, James",Jr,5-9,165,8/16/1999,"Chaska, Minn.",Defensemen,69,,,,Ohio State,B10,Ohio-State
,7,"McIntyre, Evan",So,5-10,174,10/17/2000,"Oakville, Ont.",Defensemen,70,,,,Ohio State,B10,Ohio-State
,3,"McWard, Cole",Fr,6-1,192,6/9/2001,"Fenton, Mo.",Defensemen,73,,,,Tri-City,USHL,Ohio-State
,24,"O'Connell, Ryan",Sr,6-1,185,4/25/1999,"Manotick, Ont.",Defensemen,73,2017,TOR,7,Ohio State,Big Ten,Ohio-State
,65,"Regula, CJ",Jr,6-3,205,5/29/1998,"Bloomfield Hills, Mich.",Defensemen,75,,,,Ohio State,B10,Ohio-State
,33,"Riedell, Will",Sr,6-1,198,10/9/1996,"Greensboro, N.C.",Defensemen,73,,,,Lake Superior State,WCHA,Ohio-State
,9,"Vidoli, Dominic",Jr,6-0,190,6/23/1999,"Wake Forest, N.C.",Defensemen,72,,,,Ohio State,B10,Ohio-State
,20,"Cassidy, Matt",Jr,6-0,187,7/31/1999,"Medford, N.J.",Forwards,72,,,,Quinnipiac,ECAC,Ohio-State
,17,"Cheremeta, Mark",Jr,5-11,185,7/12/1999,"Parkland, Fla.",Forwards,71,,,,Ohio State,B10,Ohio-State
,27,"Cooley, Eric",Sr,5-9,185,5/5/1998,"Pittsburgh, Pa.",Forwards,69,,,,Amarillo,NAHL,Ohio-State
,21,"Dunlap, Joe",So,6-0,185,11/30/1999,"Windham, N.H.",Forwards,72,,,,Fargo,USHL,Ohio-State
,18,"Gildon, Michael",Jr,6-2,196,6/21/2001,"Plano, Texas",Forwards,74,,,,USA U-18 Team,NTDP,Ohio-State
,71,"Guzzo, Patrick",So,6-2,198,11/27/2001,"Marysville, Mich.",Forwards,74,,,,Waterloo,USHL,Ohio-State
,26,"Leslie, Jaedon",Jr,6-1,187,8/4/1998,"St. Albert, Alb.",Forwards,73,,,,Ohio State,B10,Ohio-State
,10,"Merkulov, Georgii",Fr,5-11,180,10/10/2000,"Ryazan, Russia",Forwards,71,,,,Youngstown,USHL,Ohio-State
,14,"Messina, Dalton",Jr,5-11,195,3/29/1998,"Macomb, Mich.",Forwards,71,,,,Youngstown,USHL,Ohio-State
,16,"Preston, Quinn",Sr,5-11,182,10/21/1997,"Trenton, Mich.",Forwards,71,,,,Dubuque,USHL,Ohio-State
,11,"Sadlocha, Kamil",Jr,5-11,185,4/12/1999,"Carpentersville, Ill.",Forwards,71,,,,Madison,USHL,Ohio-State
,13,"Singleton, Tate",Jr,5-9,177,9/5/1998,"West Lebanon, N.H.",Forwards,69,,,,Central Illinois,USHL,Ohio-State
,15,"Thiesing, Cam",Fr,6-0,184,3/26/2001,"Franklin, Tenn.",Forwards,72,,,,Green Bay,USHL,Ohio-State
,94,"Treloar, Travis",So,5-11,177,5/12/2001,"Fredrikstad, Norway",Forwards,71,,,,Ohio State,B10,Ohio-State
,29,"Westlund, Gustaf",Sr,6-0,175,12/12/1997,"Stockholm, Sweden",Forwards,72,,,,Lincoln,USHL,Ohio-State
,28,"Wise, Jake",Sr,5-10,190,2/28/2000,"Reading, Mass.",Forwards,70,2018,CHI,3,Boston University,HEA,Ohio-State
,44,"Dobes, Jakub",Fr,6-4,198,5/27/2001,"Havirov, Czech Republic",Goaltenders,76,2020,MTL,5,Omaha,USHL,Ohio-State
,34,"Herbst, Reilly",Fr,6-0,185,2/17/2000,"Niwot, Colo.",Goaltenders,72,,,,Omaha,USHL,Ohio-State
,30,"Snowden, Ryan",Jr,6-3,205,3/6/1998,"Lincoln University, Pa.",Goaltenders,75,,,,Central Illinois,USHL,Ohio-State
,11,"Balinson, Max",Sr,6-0,192,10/5/1996,"Ancaster, Ont.",Defensemen,72,,,,Arizona State,NCAA D-I,Long-Island
,4,"Cox, Spencer",Fr,6-0,185,2/7/2001,"West Chester, Pa.",Defensemen,72,,,,Long Island,DI Independent,Long-Island
,7,"Di Cicco, Jordan",So,5-9,183,5/17/1999,"London, Ont.",Defensemen,69,,,,Brooks,AJHL,Long-Island
,15,"Ekberg, Carter",Sr,6-2,190,5/14/1997,"Pittsburgh, Pa.",Defensemen,74,,,,Air Force,AHA,Long-Island
,24,"Gormley, John",Fr,6-4,220,8/19/2000,"Bronx, N.Y.",Defensemen,76,,,,Bismark,NAHL,Long-Island
,23,"Martini, Ethan",Fr,6-7,194,10/4/2000,"Trail, B.C.",Defensemen,79,,,,Penticton,BCHL,Long-Island
,22,"McCollum, Rob",So,6-2,181,11/4/1999,"Thunder Bay, Ont.",Defensemen,74,,,,Musekgon,USHL,Long-Island
,2,"McElhaney, Nolan",Jr,6-3,190,4/22/1999,"Natick, Mass.",Defensemen,75,,,,New Hampshire,HEA,Long-Island
,3,"Musser, Carson",Sr,6-1,200,4/21/1997,"Grand Rapids, Mich.",Defensemen,73,,,,Bowling Green,WCHA,Long-Island
,44,"Stevens, Jake",Sr,6-2,205,12/6/1996,"Naperville, Ill.",Defensemen,74,,,,St. Lawrence,ECAC,Long-Island
,25,"Brodziak, Preston",So,6-0,185,6/29/1999,"Estevan, Sask.",Forwards,72,,,,Prince George,BCHL,Long-Island
,9,"Bross, Zack",Sr,6-0,195,3/11/1996,"St. Louis, Mo.",Forwards,72,,,,Mass.-Boston,NCAA D-III,Long-Island
,26,"Du Bois, Daine",So,5-11,190,9/11/1999,"Williams Lake, B.C.",Forwards,71,,,,Bonnyville Pontiacs,AJHL,Long-Island
,8,"Fox, Isaiah",Fr,5-11,165,7/5/2000,"Pierrefonds, Que.",Forwards,71,,,,Maine,NAHL,Long-Island
,13,"Franczak, Jacob",So,6-1,180,6/13/2000,"Edmonton, Alb.",Forwards,73,,,,Sherwood Park,AJHL,Long-Island
,6,"Hopps, Tanner",So,6-0,190,1/2/2000,"Delta, B.C.",Forwards,72,,,,Drayton Valley,AJHL,Long-Island
,27,"Jerry, Billy",Sr,6-4,190,11/21/1997,"River Falls, Wis.",Forwards,76,,,,Rensselaer,ECAC,Long-Island
,28,"Marrocco, PJ",Jr,5-8,170,8/27/1997,"Edmonton, Alb.",Forwards,68,,,,Arizona State,NCAA D-I,Long-Island
,20,"Müller, Gustav",So,6-0,192,4/23/1999,"Hudiksvall, Sweden",Forwards,72,,,,Madison,USHL,Long-Island
